Trabajo,Oferta,Numero_Ofertas,Rango_Presupuesto,Ubicacion,Habilidades
WordPress - BuddyPress Theme,19,10,15-25,United States,PHPWordPressHTMLWebsite DesignCSS
"build website with php, html, js, css",179,19,30-250,Spain,PHPHTMLWebsite DesignCSSAJAX
Add a basic chat box on html page - anonymous no user accounts - anyone can add a message,30,7,10-30,"Anaheim, United States",HTMLPHPWebsite DesignCSSJavaScript
Styling or customize Wordpress framework template to match the other website's design,126,11,30-250,"Northcote, Australia",WordPressCSSPHPHTMLWebsite Design
Developer who can add a new features to Wordpress site/mobile app,1080,16,750-1500,"Miami, United States",WordPressPHPHTMLCSSAndroid
EPUB FORMATTER,73,3,10-100,"Oklahoma City, United States",CSSHTMLHTML5PHPJavaScript
change UI/UX of PHP SOURCODE to the UNRECOGNISABLE,27,2,10-30,"accra, Ghana",User Experience DesignHTMLCSSPHP
WIX Website,17,14,10-15,"London, United Kingdom",Website DesignHTMLGraphic DesignPHPCSS
Looking for frontend developer who knows react/next.js/tailwind.css,244,40,20-250,"St Albans, United Kingdom",React.jsCSSHTMLJavaScript
I need to update wordpress plugins without disrupting custom plugins codes,170,17,30-250,"Tampa, United States",WordPressPHPHTMLCSSJavaScript
Wordpress,5,16,2-8,"La'ie, United States",WordPressPHPHTMLCSSWebsite Design
Teach Me How to Customize any Admin Template in 1 Week,161,4,30-250,"Hargeisa, Somalia",HTMLJavaScriptCSSBootstrapC# Programming
Frontend work: design BBpress forum to merge with the homepage design of wordpress,144,8,30-250,"Tyringe, Sweden",WordPressPHPHTMLCSSWebsite Design
Good javascript/css developer,99,27,30-250,"Stockholm, Sweden",JavaScriptCSSHTMLHTML5jQuery / Prototype
Looking for a senior Ionic developer with Angular Experience,20,21,15-25,"Beograd, Serbia",AngularJSIonic FrameworkHTML5JavaScriptCSS
Web Developer for backend admin portal development,20,16,15-25,"Miami, United States",JavaScriptHTMLNode.jsMySQLCSS
Create two bootstrap UI pages,126,61,30-250,"Maple Grove, United States",BootstrapHTMLCSSWebsite Design
Add counter to reviews using SiteReviews wordpress plugin,20,7,10-30,"North York, Canada",WordPressPHPCSSHTMLJavaScript
Implement dark mode to my gatsby blog,41,4,10-30,"Izmir, Turkey",HTMLWebsite DesignCSSJavaScriptReact.js
Convert simple wordpress site to static html,132,41,30-250,"Singapore, Singapore",WordPressHTMLCSSPHPWebsite Design
Need to Integrate online IDE with testcases in wordpress,87,1,1500-12500,"Vijayawada, India",WordPressPHPHTMLCSSJavaScript
Implement Icon view on prestashop,26,4,10-30,"Uyo, Nigeria",PrestashopPHPHTMLCSSWebsite Design
Joomla integrare magazin,209,5,30-250,"Bucharest, Romania",JoomlaPHPHTMLWebsite DesignCSS
I want a Top navigation bar for website,15,22,600-1500,"Ramnagar, India",HTMLWebsite DesignCSS
"developer PHP, front-end, website for a framework to share files",11,18,8-15,"The Hague, Netherlands",PHPHTMLWebsite DesignGraphic DesignCSS
website designer,85,18,1500-12500,India,Website DesignGraphic DesignPHPHTMLCSS
Mega Map project for a game,14,1,8-20,France,PHPWordPressCSSHTMLWebsite Design
Need wordpress Expert -- 2,14,6,600-650,"pune, India",PHPWordPressHTMLCSSWebsite Design
need to edit single product page page at woocommerce wordpress,29,11,10-30,"Hawally, Kuwait",WordPressPHPWooCommerceHTMLCSS
Implementation of the recurrent card payment method,77,1,10-30,"Ploieşti, Romania",PHPWordPressHTMLWebsite DesignCSS
Small changes on website,14,18,10,"Bielefeld, Germany",Website DesignCSS
